<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,18/10/18,16:01,114220.0,114230.0,114150.0,114210.0,765
SPFB.RTS-12.18,1,18/10/18,16:02,114220.0,114260.0,114200.0,114230.0,503
SPFB.RTS-12.18,1,18/10/18,16:03,114230.0,114290.0,114230.0,114280.0,631
SPFB.RTS-12.18,1,18/10/18,16:04,114280.0,114280.0,114220.0,114230.0,491
SPFB.RTS-12.18,1,18/10/18,16:05,114240.0,114270.0,114240.0,114260.0,379
SPFB.RTS-12.18,1,18/10/18,16:06,114260.0,114330.0,114230.0,114320.0,699
SPFB.RTS-12.18,1,18/10/18,16:07,114320.0,114340.0,114250.0,114260.0,645
SPFB.RTS-12.18,1,18/10/18,16:08,114260.0,114260.0,114190.0,114190.0,544
SPFB.RTS-12.18,1,18/10/18,16:09,114180.0,114200.0,114110.0,114130.0,950
SPFB.RTS-12.18,1,18/10/18,16:10,114130.0,114140.0,114070.0,114100.0,665
SPFB.RTS-12.18,1,18/10/18,16:11,114090.0,114160.0,114070.0,114100.0,538
SPFB.RTS-12.18,1,18/10/18,16:12,114100.0,114100.0,114070.0,114100.0,669
SPFB.RTS-12.18,1,18/10/18,16:13,114100.0,114110.0,114070.0,114080.0,328
SPFB.RTS-12.18,1,18/10/18,16:14,114080.0,114100.0,114050.0,114080.0,773
SPFB.RTS-12.18,1,18/10/18,16:15,114080.0,114120.0,114070.0,114080.0,307
SPFB.RTS-12.18,1,18/10/18,16:16,114080.0,114170.0,114060.0,114150.0,502
SPFB.RTS-12.18,1,18/10/18,16:17,114150.0,114180.0,114120.0,114130.0,258
SPFB.RTS-12.18,1,18/10/18,16:18,114130.0,114150.0,114100.0,114110.0,255
SPFB.RTS-12.18,1,18/10/18,16:19,114120.0,114120.0,114070.0,114070.0,335
SPFB.RTS-12.18,1,18/10/18,16:20,114090.0,114150.0,114080.0,114140.0,268
SPFB.RTS-12.18,1,18/10/18,16:21,114140.0,114180.0,114130.0,114160.0,169
SPFB.RTS-12.18,1,18/10/18,16:22,114170.0,114190.0,114150.0,114170.0,223
SPFB.RTS-12.18,1,18/10/18,16:23,114170.0,114170.0,114090.0,114130.0,544
SPFB.RTS-12.18,1,18/10/18,16:24,114120.0,114170.0,114120.0,114150.0,163
SPFB.RTS-12.18,1,18/10/18,16:25,114140.0,114140.0,114090.0,114140.0,231
SPFB.RTS-12.18,1,18/10/18,16:26,114130.0,114150.0,114120.0,114150.0,165
SPFB.RTS-12.18,1,18/10/18,16:27,114140.0,114170.0,114130.0,114170.0,147
SPFB.RTS-12.18,1,18/10/18,16:28,114170.0,114170.0,114150.0,114150.0,76
SPFB.RTS-12.18,1,18/10/18,16:29,114150.0,114180.0,114130.0,114140.0,266
SPFB.RTS-12.18,1,18/10/18,16:30,114130.0,114250.0,114120.0,114220.0,446
SPFB.RTS-12.18,1,18/10/18,16:31,114210.0,114260.0,114130.0,114170.0,927
SPFB.RTS-12.18,1,18/10/18,16:32,114160.0,114180.0,114080.0,114140.0,876
SPFB.RTS-12.18,1,18/10/18,16:33,114150.0,114170.0,114110.0,114120.0,851
SPFB.RTS-12.18,1,18/10/18,16:34,114120.0,114130.0,114050.0,114080.0,858
SPFB.RTS-12.18,1,18/10/18,16:35,114080.0,114100.0,114040.0,114060.0,582
SPFB.RTS-12.18,1,18/10/18,16:36,114050.0,114060.0,113900.0,113970.0,4199
SPFB.RTS-12.18,1,18/10/18,16:37,113960.0,114100.0,113950.0,114040.0,1264
SPFB.RTS-12.18,1,18/10/18,16:38,114040.0,114090.0,114020.0,114040.0,685
SPFB.RTS-12.18,1,18/10/18,16:39,114050.0,114190.0,114010.0,114160.0,1308
SPFB.RTS-12.18,1,18/10/18,16:40,114150.0,114270.0,114150.0,114260.0,651
SPFB.RTS-12.18,1,18/10/18,16:41,114270.0,114270.0,114160.0,114210.0,832
SPFB.RTS-12.18,1,18/10/18,16:42,114190.0,114290.0,114170.0,114270.0,780
SPFB.RTS-12.18,1,18/10/18,16:43,114270.0,114280.0,114220.0,114240.0,327
SPFB.RTS-12.18,1,18/10/18,16:44,114230.0,114320.0,114210.0,114310.0,968
SPFB.RTS-12.18,1,18/10/18,16:45,114300.0,114330.0,114250.0,114260.0,912
SPFB.RTS-12.18,1,18/10/18,16:46,114250.0,114310.0,114230.0,114240.0,703
SPFB.RTS-12.18,1,18/10/18,16:47,114260.0,114360.0,114240.0,114360.0,419
SPFB.RTS-12.18,1,18/10/18,16:48,114360.0,114360.0,114270.0,114280.0,475
SPFB.RTS-12.18,1,18/10/18,16:49,114290.0,114490.0,114290.0,114490.0,1419
SPFB.RTS-12.18,1,18/10/18,16:50,114480.0,114490.0,114440.0,114470.0,1378
SPFB.RTS-12.18,1,18/10/18,16:51,114480.0,114530.0,114380.0,114390.0,1245
SPFB.RTS-12.18,1,18/10/18,16:52,114400.0,114480.0,114390.0,114410.0,284
SPFB.RTS-12.18,1,18/10/18,16:53,114410.0,114420.0,114270.0,114330.0,825
SPFB.RTS-12.18,1,18/10/18,16:54,114330.0,114380.0,114280.0,114290.0,527
SPFB.RTS-12.18,1,18/10/18,16:55,114290.0,114290.0,114210.0,114210.0,904
SPFB.RTS-12.18,1,18/10/18,16:56,114210.0,114220.0,114140.0,114190.0,1184
SPFB.RTS-12.18,1,18/10/18,16:57,114210.0,114220.0,114110.0,114120.0,1046
SPFB.RTS-12.18,1,18/10/18,16:58,114120.0,114200.0,114080.0,114090.0,1351
SPFB.RTS-12.18,1,18/10/18,16:59,114080.0,114130.0,114020.0,114080.0,1180
SPFB.RTS-12.18,1,18/10/18,17:00,114070.0,114160.0,114050.0,114150.0,767
SPFB.RTS-12.18,1,18/10/18,17:01,114140.0,114150.0,114050.0,114060.0,717
SPFB.RTS-12.18,1,18/10/18,17:02,114070.0,114160.0,114070.0,114100.0,645
SPFB.RTS-12.18,1,18/10/18,17:03,114100.0,114150.0,114040.0,114150.0,636
SPFB.RTS-12.18,1,18/10/18,17:04,114150.0,114220.0,114140.0,114190.0,910
SPFB.RTS-12.18,1,18/10/18,17:05,114170.0,114210.0,114120.0,114190.0,210
SPFB.RTS-12.18,1,18/10/18,17:06,114170.0,114200.0,114150.0,114180.0,207
SPFB.RTS-12.18,1,18/10/18,17:07,114190.0,114260.0,114150.0,114260.0,455
SPFB.RTS-12.18,1,18/10/18,17:08,114270.0,114280.0,114030.0,114070.0,1586
